zone,inclination,orientation,irradiance
1,20,5,946
1,20,10,945
1,20,15,942
1,20,20,939
1,20,25,935
1,20,30,929
1,20,35,923
1,20,40,916
1,20,45,908
1,20,50,900
1,20,55,891
1,20,60,881
1,20,65,870
1,20,70,859
1,20,75,848
1,20,80,836
1,20,85,824
1,20,90,812
1,20,95,799
1,20,100,787
1,20,105,774
1,20,110,762
1,20,115,750
1,20,120,738
1,20,125,726
1,20,130,716
1,20,135,705
1,20,140,696
1,20,145,688
1,20,150,681
1,20,155,675
1,20,160,671
1,20,165,667
1,20,170,664
1,20,175,663
1,21,0,951
1,21,5,950
1,21,10,949
1,21,15,946
1,21,20,943
1,21,25,938
1,21,30,933
1,21,35,926
1,21,40,919
1,21,45,911
1,21,50,902
1,21,55,893
1,21,60,882
1,21,65,871
1,21,70,860
1,21,75,848
1,21,80,836
1,21,85,823
1,21,90,811
1,21,95,798
1,21,100,784
1,21,105,771
1,21,110,758
1,21,115,745
1,21,120,733
1,21,125,721
1,21,130,710
1,21,135,699
1,21,140,690
1,21,145,681
1,21,150,674
1,21,155,668
1,21,160,663
1,21,165,659
1,21,170,657
1,21,175,655
1,22,0,954
1,22,5,954
1,22,10,952
1,22,15,950
1,22,20,946
1,22,25,941
1,22,30,936
1,22,35,929
1,22,40,922
1,22,45,913
1,22,50,904
1,22,55,894
1,22,60,883
1,22,65,872
1,22,70,860
1,22,75,848
1,22,80,835
1,22,85,822
1,22,90,809
1,22,95,795
1,22,100,782
1,22,105,768
1,22,110,755
1,22,115,742
1,22,120,729
1,22,125,716
1,22,130,704
1,22,135,693
1,22,140,683
1,22,145,674
1,22,150,667
1,22,155,660
1,22,160,655
1,22,165,651
1,22,170,648
1,22,175,646
1,23,0,958
1,23,5,957
1,23,10,956
1,23,15,953
1,23,20,949
1,23,25,944
1,23,30,939
1,23,35,932
1,23,40,924
1,23,45,915
1,23,50,906
1,23,55,896
1,23,60,885
1,23,65,873
1,23,70,861
1,23,75,848
1,23,80,835
1,23,85,821
1,23,90,807
1,23,95,794
1,23,100,779
1,23,105,765
1,23,110,751
1,23,115,737
1,23,120,724
1,23,125,711
1,23,130,698
1,23,135,687
1,23,140,676
1,23,145,667
1,23,150,659
1,23,155,653
1,23,160,648
1,23,165,643
1,23,170,640
1,23,175,638
1,24,0,961
1,24,5,961
1,24,10,959
1,24,15,956
1,24,20,952
1,24,25,947
1,24,30,941
1,24,35,934
1,24,40,926
1,24,45,917
1,24,50,907
1,24,55,897
1,24,60,886
1,24,65,873
1,24,70,861
1,24,75,848
1,24,80,834
1,24,85,820
1,24,90,806
1,24,95,791
1,24,100,777
1,24,105,762
1,24,110,748
1,24,115,733
1,24,120,719
1,24,125,706
1,24,130,693
1,24,135,681
1,24,140,670
1,24,145,660
1,24,150,652
1,24,155,645
1,24,160,640
1,24,165,635
1,24,170,632
1,24,175,630
1,25,0,964
1,25,5,964
1,25,10,962
1,25,15,959
1,25,20,955
1,25,25,950
1,25,30,944
1,25,35,937
1,25,40,928
1,25,45,919
1,25,50,909
1,25,55,898
1,25,60,886
1,25,65,874
1,25,70,861
1,25,75,847
1,25,80,833
1,25,85,819
1,25,90,804
1,25,95,789
1,25,100,774
1,25,105,759
1,25,110,744
1,25,115,729
1,25,120,714
1,25,125,700
1,25,130,687
1,25,135,675
1,25,140,663
1,25,145,653
1,25,150,645
1,25,155,638
1,25,160,632
1,25,165,627
1,25,170,623
1,25,175,621
1,26,0,967
1,26,5,967
1,26,10,965
1,26,15,962
1,26,20,958
1,26,25,953
1,26,30,946
1,26,35,939
1,26,40,930
1,26,45,921
1,26,50,910
1,26,55,899
1,26,60,887
1,26,65,874
1,26,70,861
1,26,75,847
1,26,80,833
1,26,85,818
1,26,90,802
1,26,95,787
1,26,100,772
1,26,105,756
1,26,110,740
1,26,115,725
1,26,120,710
1,26,125,695
1,26,130,682
1,26,135,668
1,26,140,657
1,26,145,646
1,26,150,638
1,26,155,630
1,26,160,624
1,26,165,619
1,26,170,615
1,26,175,614
1,27,0,970
1,27,5,969
1,27,10,968
1,27,15,965
1,27,20,960
1,27,25,955
1,27,30,948
1,27,35,941
1,27,40,932
1,27,45,922
1,27,50,911
1,27,55,900
1,27,60,887
1,27,65,874
1,27,70,861
1,27,75,846
1,27,80,831
1,27,85,816
1,27,90,801
1,27,95,785
1,27,100,769
1,27,105,752
1,27,110,737
1,27,115,721
1,27,120,705
1,27,125,690
1,27,130,676
1,27,135,662
1,27,140,650
1,27,145,640
1,27,150,630
1,27,155,623
1,27,160,616
1,27,165,611
1,27,170,608
1,27,175,605
1,28,0,972
1,28,5,972
1,28,10,970
1,28,15,967
1,28,20,962
1,28,25,957
1,28,30,950
1,28,35,942
1,28,40,933
1,28,45,923
1,28,50,912
1,28,55,900
1,28,60,888
1,28,65,874
1,28,70,860
1,28,75,845
1,28,80,830
1,28,85,815
1,28,90,799
1,28,95,782
1,28,100,766
1,28,105,749
1,28,110,733
1,28,115,717
1,28,120,701
1,28,125,685
1,28,130,670
1,28,135,656
1,28,140,644
1,28,145,633
1,28,150,623
1,28,155,615
1,28,160,608
1,28,165,603
1,28,170,599
1,28,175,597
1,29,0,975
1,29,5,974
1,29,10,972
1,29,15,969
1,29,20,964
1,29,25,959
1,29,30,952
1,29,35,944
1,29,40,935
1,29,45,924
1,29,50,913
1,29,55,901
1,29,60,888
1,29,65,874
1,29,70,860
1,29,75,845
1,29,80,829
1,29,85,813
1,29,90,797
1,29,95,780
1,29,100,763
1,29,105,746
1,29,110,729
1,29,115,712
1,29,120,696
1,29,125,680
1,29,130,665
1,29,135,651
1,29,140,637
1,29,145,626
1,29,150,616
1,29,155,608
1,29,160,600
1,29,165,595
1,29,170,591
1,29,175,589
1,30,0,977
1,30,5,976
1,30,10,974
1,30,15,971
1,30,20,966
1,30,25,960
1,30,30,953
1,30,35,945
1,30,40,936
1,30,45,925
1,30,50,914
1,30,55,901
1,30,60,888
1,30,65,874
1,30,70,859
1,30,75,844
1,30,80,828
1,30,85,811
1,30,90,795
1,30,95,777
1,30,100,760
1,30,105,743
1,30,110,725
1,30,115,708
1,30,120,691
1,30,125,675
1,30,130,659
1,30,135,644
1,30,140,631
1,30,145,619
1,30,150,609
1,30,155,600
1,30,160,593
1,30,165,587
1,30,170,583
1,30,175,581
1,31,0,979
1,31,5,978
1,31,10,976
1,31,15,973
1,31,20,968
1,31,25,962
1,31,30,955
1,31,35,946
1,31,40,937
1,31,45,926
1,31,50,914
1,31,55,901
1,31,60,888
1,31,65,873
1,31,70,858
1,31,75,843
1,31,80,826
1,31,85,810
1,31,90,792
1,31,95,775
1,31,100,757
1,31,105,739
1,31,110,722
1,31,115,704
1,31,120,687
1,31,125,670
1,31,130,654
1,31,135,639
1,31,140,625
1,31,145,612
1,31,150,602
1,31,155,593
1,31,160,585
1,31,165,579
1,31,170,575
1,31,175,573
1,32,0,980
1,32,5,979
1,32,10,977
1,32,15,974
1,32,20,969
1,32,25,963
1,32,30,956
1,32,35,947
1,32,40,937
1,32,45,926
1,32,50,914
1,32,55,901
1,32,60,888
1,32,65,873
1,32,70,857
1,32,75,841
